id,imei,bat,uCHA,uCHB,lCHA,lCHB,uT,lT,smtVWC,smtT,date_created_utc
C1,869951035739907,4127,894,864,1023,584,14.1875,13.6875,66,155,"2022-10-19  23:52:04"
C1,869951035739907,4136,892,861,1023,574,14.375,13.8125,65,155,"2022-10-19  23:57:51"
C1,869951035739907,4132,894,864,1023,576,14.5,13.875,66,156,"2022-10-20  00:03:37"
C1,869951035739907,4127,895,865,1023,575,14.625,14,64,154,"2022-10-20  00:09:47"
C1,869951035739907,4135,895,865,1023,574,14.8125,14.0625,65,157,"2022-10-20  00:15:33"
C1,869951035739907,4134,895,864,1023,579,15,14.25,65,157,"2022-10-20  00:21:21"
C1,869951035739907,4132,895,864,1023,584,15.125,14.375,65,158,"2022-10-20  00:27:30"
C1,869951035739907,4134,896,865,1023,575,15.3125,14.5,65,159,"2022-10-20  00:33:30"
C1,869951035739907,4122,896,864,1023,581,15.5,14.625,65,159,"2022-10-20  00:39:18"
C1,869951035739907,4132,899,868,1023,584,15.6875,14.75,65,160,"2022-10-20  00:45:17"
C1,869951035739907,4133,900,868,1023,582,15.9375,14.9375,64,160,"2022-10-20  00:51:16"
C1,869951035739907,4128,897,866,1023,578,16.125,15.0625,64,161,"2022-10-20  00:57:15"
C1,869951035739907,4116,897,889,971,725,16.25,15.25,64,161,"2022-10-20  01:01:50"
C1,869951035739907,4111,897,867,1023,578,16.5,15.375,64,163,"2022-10-20  01:07:38"
C1,869951035739907,4135,899,868,1023,574,16.75,15.625,64,163,"2022-10-20  01:13:37"
C1,869951035739907,4126,898,867,1023,585,16.9375,15.75,63,162,"2022-10-20  01:19:25"
C1,869951035739907,4128,900,869,1023,577,17.1875,15.9375,64,165,"2022-10-20  01:25:13"
C1,869951035739907,4132,900,869,1023,573,17.4375,16.1875,64,165,"2022-10-20  01:31:00"
C1,869951035739907,4127,901,869,1023,584,17.625,16.3125,64,166,"2022-10-20  01:36:48"
C1,869951035739907,4125,902,870,1023,578,17.875,16.5,64,167,"2022-10-20  01:42:48"
