id,imei,bat,uCHA,uCHB,lCHA,lCHB,uT,lT,smtVWC,smtT,date_created_utc
P5,869951031178423,4024,778,784,595,494,14.125,14.5,86,153,"2022-10-20  00:09:52"
P5,869951031178423,4059,744,736,538,323,14.125,14.5625,88,155,"2022-10-20  00:15:11"
P5,869951031178423,3998,746,738,540,332,14.3125,14.625,87,156,"2022-10-20  00:20:43"
P5,869951031178423,4053,747,739,540,332,14.3125,14.8125,87,156,"2022-10-20  00:26:03"
P5,869951031178423,4051,750,741,543,334,14.4375,15,87,157,"2022-10-20  00:31:24"
P5,869951031178423,4033,749,741,543,331,14.5625,15.125,86,155,"2022-10-20  00:36:43"
P5,869951031178423,4060,750,742,543,332,14.6875,15.3125,87,157,"2022-10-20  00:42:15"
P5,869951031178423,4060,751,743,543,331,14.8125,15.5,87,158,"2022-10-20  00:47:47"
P5,869951031178423,4056,752,743,544,329,14.9375,15.6875,87,159,"2022-10-20  00:53:08"
P5,869951031178423,4031,752,744,545,327,15,15.875,87,160,"2022-10-20  00:58:37"
P5,869951031178423,4049,755,746,546,333,15.1875,16,88,160,"2022-10-20  01:03:57"
P5,869951031178423,4081,754,746,549,326,15.3125,16.25,87,160,"2022-10-20  01:09:30"
P5,869951031178423,4040,756,748,550,330,15.4375,16.4375,87,161,"2022-10-20  01:15:15"
P5,869951031178423,4033,756,747,549,323,15.5,16.625,87,162,"2022-10-20  01:20:35"
P5,869951031178423,4054,757,749,552,326,15.6875,16.8125,87,163,"2022-10-20  01:25:56"
P5,869951031178423,4053,759,751,551,334,15.875,16.9375,87,163,"2022-10-20  01:31:16"
P5,869951031178423,4054,759,751,553,329,16,17.25,86,163,"2022-10-20  01:36:37"
P5,869951031178423,4052,761,752,553,324,16.1875,17.375,86,162,"2022-10-20  01:41:57"
P5,869951031178423,4053,763,753,554,324,16.3125,17.5625,86,165,"2022-10-20  01:47:18"
P5,869951031178423,4050,762,754,555,323,16.4375,17.75,86,165,"2022-10-20  01:52:38"
P5,869951031178423,4050,764,755,557,334,16.5625,17.9375,86,166,"2022-10-20  01:57:59"
P5,869951031178423,4080,764,755,558,320,16.75,18.125,86,166,"2022-10-20  02:03:20"
P5,869951031178423,3994,765,756,563,318,16.875,18.25,86,167,"2022-10-20  02:08:45"
P5,869951031178423,4052,766,757,564,322,17.0625,18.4375,86,168,"2022-10-20  02:14:05"
P5,869951031178423,4013,767,758,566,327,17.1875,18.625,86,168,"2022-10-20  02:19:33"
P5,869951031178423,4052,768,760,566,324,17.3125,18.8125,86,169,"2022-10-20  02:24:54"
P5,869951031178423,4039,770,762,567,327,17.375,19,86,169,"2022-10-20  02:30:14"
P5,869951031178423,4044,770,762,569,325,17.625,19.1875,86,170,"2022-10-20  02:35:34"
P5,869951031178423,4057,771,761,568,327,17.75,19.375,86,170,"2022-10-20  02:41:06"
P5,869951031178423,4056,772,763,570,325,17.875,19.5625,86,171,"2022-10-20  02:46:27"
P5,869951031178423,4056,772,763,569,322,18,19.75,85,171,"2022-10-20  02:51:47"
P5,869951031178423,4042,774,764,573,322,18.25,19.9375,86,171,"2022-10-20  02:57:07"
P5,869951031178423,4055,775,766,574,325,18.3125,20.125,86,172,"2022-10-20  03:02:27"
P5,869951031178423,4035,774,764,577,322,18.5,20.3125,86,172,"2022-10-20  03:08:00"
P5,869951031178423,4004,776,767,578,318,18.625,20.4375,86,173,"2022-10-20  03:13:20"
P5,869951031178423,4056,776,767,578,320,18.8125,20.625,85,173,"2022-10-20  03:18:53"
P5,869951031178423,4061,778,769,583,325,18.9375,20.8125,85,173,"2022-10-20  03:24:25"
P5,869951031178423,4060,779,769,585,322,19.1875,20.9375,85,174,"2022-10-20  03:29:57"
P5,869951031178423,4062,779,770,591,320,19.25,21.1875,85,175,"2022-10-20  03:35:17"
P5,869951031178423,4057,781,772,593,329,19.4375,21.3125,85,175,"2022-10-20  03:40:37"
P5,869951031178423,4060,782,772,589,321,19.5625,21.5,85,175,"2022-10-20  03:45:57"
P5,869951031178423,4033,782,771,589,318,19.8125,21.6875,85,176,"2022-10-20  03:51:16"
P5,869951031178423,4063,782,773,591,319,19.9375,21.8125,85,176,"2022-10-20  03:56:36"
P5,869951031178423,4043,781,773,592,308,20.0625,21.9375,85,177,"2022-10-20  04:01:56"
P5,869951031178423,4050,784,774,594,320,20.1875,22.125,85,177,"2022-10-20  04:07:16"
P5,869951031178423,4035,784,773,596,314,20.375,22.3125,84,175,"2022-10-20  04:12:36"
P5,869951031178423,4034,785,776,594,319,20.5,22.4375,85,178,"2022-10-20  04:18:20"
