id,imei,bat,uCHA,uCHB,lCHA,lCHB,uT,lT,smtVWC,smtT,date_created_utc
S2,869951035739816,4070,670,1023,546,435,13.875,13.875,88,153,"2022-10-19  23:53:34"
S2,869951035739816,4046,866,855,524,334,13.9375,14,88,153,"2022-10-19  23:59:32"
S2,869951035739816,4062,903,867,547,457,14,14.125,88,153,"2022-10-20  00:03:05"
S2,869951035739816,4072,866,856,523,336,14.0625,14.1875,88,154,"2022-10-20  00:08:57"
S2,869951035739816,4050,902,868,556,454,14.375,14.625,88,154,"2022-10-20  00:30:50"
S2,869951035739816,4085,868,858,515,345,14.375,14.6875,88,155,"2022-10-20  00:36:42"
S2,869951035739816,4092,868,857,523,347,14.5,14.75,88,156,"2022-10-20  00:42:39"
S2,869951035739816,4080,894,876,568,505,14.75,15.0625,88,156,"2022-10-20  00:51:59"
S2,869951035739816,4074,729,1023,590,459,14.875,15.25,87,156,"2022-10-20  01:00:33"
S2,869951035739816,4059,870,955,526,324,14.9375,15.375,88,158,"2022-10-20  01:06:24"
S2,869951035739816,4060,872,955,537,344,15.0625,15.5,88,159,"2022-10-20  01:12:20"
S2,869951035739816,4088,872,954,537,354,15.1875,15.6875,86,157,"2022-10-20  01:18:07"
S2,869951035739816,4081,872,859,539,354,15.3125,15.875,88,160,"2022-10-20  01:24:16"
S2,869951035739816,4093,872,859,536,346,15.4375,16.0625,88,160,"2022-10-20  01:30:03"
S2,869951035739816,4081,872,859,538,340,15.5625,16.25,88,162,"2022-10-20  01:36:02"
S2,869951035739816,4092,874,860,538,351,15.6875,16.5,86,160,"2022-10-20  01:41:49"
S2,869951035739816,4093,874,860,539,354,15.75,16.6875,88,163,"2022-10-20  01:47:36"
S2,869951035739816,4093,874,860,539,342,15.9375,16.875,88,164,"2022-10-20  01:53:45"
S2,869951035739816,4086,874,860,540,342,16.0625,17.0625,88,164,"2022-10-20  01:59:33"
S2,869951035739816,4082,875,862,539,343,16.1875,17.25,88,165,"2022-10-20  02:05:24"
S2,869951035739816,4078,875,862,541,349,16.3125,17.4375,87,165,"2022-10-20  02:11:37"
S2,869951035739816,4092,876,861,540,336,16.5,17.6875,88,166,"2022-10-20  02:17:25"
S2,869951035739816,4090,876,860,539,339,16.625,17.875,87,167,"2022-10-20  02:23:24"
S2,869951035739816,4076,876,861,540,340,16.75,18.0625,86,165,"2022-10-20  02:29:17"
S2,869951035739816,4079,876,862,539,331,16.875,18.25,86,166,"2022-10-20  02:35:16"
S2,869951035739816,4080,878,863,543,337,17.0625,18.6875,87,170,"2022-10-20  02:47:26"
S2,869951035739816,4091,877,863,541,334,17.25,18.875,87,171,"2022-10-20  02:53:14"
S2,869951035739816,4083,878,863,546,332,17.4375,19.0625,87,171,"2022-10-20  02:59:02"
S2,869951035739816,4087,879,863,544,333,17.5,19.25,87,171,"2022-10-20  03:04:50"
S2,869951035739816,4076,879,863,545,331,17.6875,19.4375,87,173,"2022-10-20  03:10:55"
S2,869951035739816,4080,879,864,544,331,17.8125,19.625,87,173,"2022-10-20  03:17:05"
S2,869951035739816,4090,879,865,544,337,17.9375,19.8125,85,170,"2022-10-20  03:23:16"
S2,869951035739816,4091,880,865,544,324,18.125,20,87,174,"2022-10-20  03:29:15"
S2,869951035739816,4079,880,865,543,334,18.25,20.1875,86,174,"2022-10-20  03:35:15"
S2,869951035739816,4082,881,866,546,334,18.375,20.375,86,175,"2022-10-20  03:41:15"
S2,869951035739816,4083,881,865,547,324,18.5625,20.5625,87,176,"2022-10-20  03:47:15"
S2,869951035739816,4079,881,867,548,336,18.6875,20.75,86,176,"2022-10-20  03:53:19"
S2,869951035739816,4079,882,866,548,335,18.8125,20.9375,87,177,"2022-10-20  03:59:13"
S2,869951035739816,4079,882,865,548,327,19,21.0625,86,177,"2022-10-20  04:05:06"
S2,869951035739816,4092,883,866,548,334,19.0625,21.1875,86,177,"2022-10-20  04:10:54"
S2,869951035739816,4073,881,866,551,319,19.25,21.375,86,178,"2022-10-20  04:16:42"
S2,869951035739816,4079,883,866,549,315,19.4375,21.5,86,179,"2022-10-20  04:22:34"
S2,869951035739816,4092,883,867,552,331,19.5625,21.6875,86,179,"2022-10-20  04:28:23"
S2,869951035739816,4081,883,868,552,338,19.6875,21.75,86,179,"2022-10-20  04:34:29"
S2,869951035739816,4092,884,868,552,336,19.875,21.9375,86,180,"2022-10-20  04:40:18"
S2,869951035739816,4082,884,867,554,338,20,22.125,87,180,"2022-10-20  04:46:18"
S2,869951035739816,4072,884,867,554,330,20.1875,22.25,86,180,"2022-10-20  04:52:11"
S2,869951035739816,4080,884,868,554,333,20.25,22.3125,86,181,"2022-10-20  04:58:18"
S2,869951035739816,4091,885,868,553,326,20.4375,22.4375,86,181,"2022-10-20  05:04:29"
S2,869951035739816,4080,900,901,586,499,20.4375,22.5625,86,181,"2022-10-20  05:07:08"
S2,869951035739816,4081,915,897,598,479,22.875,24.3125,86,185,"2022-10-20  07:34:36"
S2,869951035739816,4111,880,905,669,551,17.0625,17.8125,88,166,"2022-10-21  01:22:13"
S2,869951035739816,4108,875,855,721,472,17.125,17.9375,88,166,"2022-10-21  01:27:47"
S2,869951035739816,4099,891,893,646,500,17.1875,17.9375,87,164,"2022-10-21  01:29:36"
S2,869951035739816,4106,884,849,767,449,17.25,18.125,88,166,"2022-10-21  01:34:58"
S2,869951035739816,4105,886,848,793,445,17.4375,18.25,88,167,"2022-10-21  01:40:32"
S2,869951035739816,4091,887,848,785,427,17.5625,18.4375,88,168,"2022-10-21  01:51:50"
S2,869951035739816,4083,886,848,791,424,17.625,18.5625,88,168,"2022-10-21  01:57:25"
S2,869951035739816,4100,883,852,628,362,17.8125,18.75,88,168,"2022-10-21  02:03:00"
S2,869951035739816,4082,884,851,693,381,17.8125,18.8125,88,169,"2022-10-21  02:08:34"
S2,869951035739816,4093,886,849,831,438,17.9375,18.9375,87,169,"2022-10-21  02:14:08"
S2,869951035739816,4097,885,851,716,389,17.9375,19.0625,88,170,"2022-10-21  02:19:52"
S2,869951035739816,4085,889,853,806,426,18.0625,19.25,88,170,"2022-10-21  02:25:14"
S2,869951035739816,4099,892,861,767,424,18.25,19.875,89,171,"2022-10-21  02:30:36"
S2,869951035739816,4084,896,865,777,440,18.4375,20.0625,89,171,"2022-10-21  02:35:58"
S2,869951035739816,4094,893,869,643,389,18.625,19.625,89,170,"2022-10-21  02:41:20"
S2,869951035739816,4095,895,867,771,431,18.9375,19.1875,88,168,"2022-10-21  02:46:54"
S2,869951035739816,4090,896,866,818,449,19.3125,18.875,88,167,"2022-10-21  02:52:16"
S2,869951035739816,4095,895,867,813,449,19.6875,18.6875,88,167,"2022-10-21  02:57:39"
S2,869951035739816,4081,892,868,668,405,19.875,18.6875,87,164,"2022-10-21  03:05:25"
S2,869951035739816,4081,895,867,804,446,20.125,18.75,88,167,"2022-10-21  03:10:58"
S2,869951035739816,4080,896,868,768,437,20.0625,18.8125,88,167,"2022-10-21  03:16:25"
S2,869951035739816,4094,898,869,825,469,20,18.8125,88,167,"2022-10-21  03:21:47"
S2,869951035739816,4079,895,870,687,409,19.875,18.9375,89,168,"2022-10-21  03:27:29"
S2,869951035739816,4081,896,870,812,454,19.8125,19.0625,89,168,"2022-10-21  03:33:03"
S2,869951035739816,4078,896,870,783,438,19.75,19.1875,88,169,"2022-10-21  03:38:30"
S2,869951035739816,4081,895,873,686,408,19.6875,19.3125,89,169,"2022-10-21  03:44:04"
S2,869951035739816,4089,896,872,742,422,19.6875,19.5,87,167,"2022-10-21  03:49:26"
S2,869951035739816,4084,896,871,785,427,19.625,19.6875,88,168,"2022-10-21  03:54:49"
S2,869951035739816,4067,896,871,751,419,19.625,19.875,88,171,"2022-10-21  04:00:12"
S2,869951035739816,4076,897,870,812,447,19.75,19.9375,86,169,"2022-10-21  04:05:41"
S2,869951035739816,4087,897,870,818,450,19.8125,20,88,172,"2022-10-21  04:11:15"
S2,869951035739816,4089,897,869,848,454,19.9375,20.0625,88,172,"2022-10-21  04:16:50"
S2,869951035739816,4076,897,870,794,438,20,20.1875,87,172,"2022-10-21  04:22:12"
S2,869951035739816,4079,896,869,783,436,20.125,20.3125,88,173,"2022-10-21  04:27:46"
S2,869951035739816,4084,897,870,853,463,20.1875,20.4375,87,173,"2022-10-21  04:33:08"
S2,869951035739816,4072,897,870,808,454,20.3125,20.5625,87,174,"2022-10-21  04:38:30"
S2,869951035739816,4088,893,872,594,346,20.4375,20.6875,87,175,"2022-10-21  04:43:59"
S2,869951035739816,4089,894,871,629,366,20.5625,20.8125,87,175,"2022-10-21  04:49:27"
S2,869951035739816,4089,894,873,637,367,20.625,21,87,175,"2022-10-21  04:55:11"
S2,869951035739816,4075,894,872,648,370,20.75,21.125,87,176,"2022-10-21  05:00:34"
S2,869951035739816,4088,895,874,646,377,20.9375,21.3125,87,177,"2022-10-21  05:05:56"
S2,869951035739816,4076,895,873,654,365,21,21.4375,87,177,"2022-10-21  05:11:25"
S2,869951035739816,4091,895,873,671,376,21.0625,21.625,87,177,"2022-10-21  05:16:47"
