elapsed time,receive time,header.stamp,topic,value
0,1666346400.000000000,,/group_C_avg.uCB,13.8039581087
3600,1666350000.000000000,,/group_C_avg.uCB,13.7889424889
7200,1666353600.000000000,,/group_C_avg.uCB,14.1380484371
10800,1666357200.000000000,,/group_C_avg.uCB,14.5649626961
14400,1666360800.000000000,,/group_C_avg.uCB,14.703568007
18000,1666364400.000000000,,/group_C_avg.uCB,14.6661254399
21600,1666368000.000000000,,/group_C_avg.uCB,14.7388933463
25200,1666371600.000000000,,/group_C_avg.uCB,14.9477255207
28800,1666375200.000000000,,/group_C_avg.uCB,14.9701373681
32400,1666378800.000000000,,/group_C_avg.uCB,14.7749086194
36000,1666382400.000000000,,/group_C_avg.uCB,14.7000726682
39600,1666386000.000000000,,/group_C_avg.uCB,14.7263642661
43200,1666389600.000000000,,/group_C_avg.uCB,14.711619496
46800,1666393200.000000000,,/group_C_avg.uCB,14.5906152271
50400,1666396800.000000000,,/group_C_avg.uCB,14.5068888498
54000,1666400400.000000000,,/group_C_avg.uCB,14.4854608373
57600,1666404000.000000000,,/group_C_avg.uCB,14.4448812281
61200,1666407600.000000000,,/group_C_avg.uCB,14.3837132653
64800,1666411200.000000000,,/group_C_avg.uCB,14.3564552285
68400,1666414800.000000000,,/group_C_avg.uCB,14.3713811542
72000,1666418400.000000000,,/group_C_avg.uCB,14.3395053157
75600,1666422000.000000000,,/group_C_avg.uCB,14.3197246184
79200,1666425600.000000000,,/group_C_avg.uCB,14.2741555666
82800,1666429200.000000000,,/group_C_avg.uCB,14.2183851156
86400,1666432800.000000000,,/group_C_avg.uCB,14.1537245381
90000,1666436400.000000000,,/group_C_avg.uCB,14.0388386191
93600,1666440000.000000000,,/group_C_avg.uCB,13.8080916756
97200,1666443600.000000000,,/group_C_avg.uCB,13.6419694497
100800,1666447200.000000000,,/group_C_avg.uCB,13.6145279651
104400,1666450800.000000000,,/group_C_avg.uCB,13.5688971307
108000,1666454400.000000000,,/group_C_avg.uCB,13.4646265224
111600,1666458000.000000000,,/group_C_avg.uCB,13.4664633019
115200,1666461600.000000000,,/group_C_avg.uCB,13.5978715988
118800,1666465200.000000000,,/group_C_avg.uCB,13.6213569776
122400,1666468800.000000000,,/group_C_avg.uCB,13.3778895539
126000,1666472400.000000000,,/group_C_avg.uCB,13.1339654508
129600,1666476000.000000000,,/group_C_avg.uCB,12.9474507955
133200,1666479600.000000000,,/group_C_avg.uCB,12.7198537143
136800,1666483200.000000000,,/group_C_avg.uCB,12.4874340641
140400,1666486800.000000000,,/group_C_avg.uCB,12.3324119535
144000,1666490400.000000000,,/group_C_avg.uCB,12.2890816362
147600,1666494000.000000000,,/group_C_avg.uCB,12.3510236507
151200,1666497600.000000000,,/group_C_avg.uCB,12.3983409278
154800,1666501200.000000000,,/group_C_avg.uCB,12.4518036131
158400,1666504800.000000000,,/group_C_avg.uCB,12.5361172346
162000,1666508400.000000000,,/group_C_avg.uCB,12.6060984435
165600,1666512000.000000000,,/group_C_avg.uCB,12.6874487122
169200,1666515600.000000000,,/group_C_avg.uCB,12.6783475051
0,1666346400.000000000,,/group_P_avg.uCB,20.378013162
3600,1666350000.000000000,,/group_P_avg.uCB,19.5209248241
7200,1666353600.000000000,,/group_P_avg.uCB,18.8046592855
10800,1666357200.000000000,,/group_P_avg.uCB,18.7966155807
14400,1666360800.000000000,,/group_P_avg.uCB,18.6527072082
18000,1666364400.000000000,,/group_P_avg.uCB,18.4855126128
21600,1666368000.000000000,,/group_P_avg.uCB,18.0713707638
25200,1666371600.000000000,,/group_P_avg.uCB,17.7564023833
28800,1666375200.000000000,,/group_P_avg.uCB,17.5878071833
32400,1666378800.000000000,,/group_P_avg.uCB,17.2471477822
36000,1666382400.000000000,,/group_P_avg.uCB,16.9965461866
39600,1666386000.000000000,,/group_P_avg.uCB,16.8150842936
43200,1666389600.000000000,,/group_P_avg.uCB,16.7028112743
46800,1666393200.000000000,,/group_P_avg.uCB,16.5918171216
50400,1666396800.000000000,,/group_P_avg.uCB,16.5241505083
54000,1666400400.000000000,,/group_P_avg.uCB,16.4065821067
57600,1666404000.000000000,,/group_P_avg.uCB,16.2930888382
61200,1666407600.000000000,,/group_P_avg.uCB,16.1852530281
64800,1666411200.000000000,,/group_P_avg.uCB,16.1233731058
68400,1666414800.000000000,,/group_P_avg.uCB,16.0097157184
72000,1666418400.000000000,,/group_P_avg.uCB,15.8486968163
75600,1666422000.000000000,,/group_P_avg.uCB,15.7830931817
79200,1666425600.000000000,,/group_P_avg.uCB,15.6672828828
82800,1666429200.000000000,,/group_P_avg.uCB,15.5961003719
86400,1666432800.000000000,,/group_P_avg.uCB,15.5146622531
90000,1666436400.000000000,,/group_P_avg.uCB,15.3954665656
93600,1666440000.000000000,,/group_P_avg.uCB,15.3882701825
97200,1666443600.000000000,,/group_P_avg.uCB,15.4705333318
100800,1666447200.000000000,,/group_P_avg.uCB,15.3883603259
104400,1666450800.000000000,,/group_P_avg.uCB,15.1941597143
108000,1666454400.000000000,,/group_P_avg.uCB,14.9886564345
111600,1666458000.000000000,,/group_P_avg.uCB,14.8732494878
115200,1666461600.000000000,,/group_P_avg.uCB,14.699536849
118800,1666465200.000000000,,/group_P_avg.uCB,14.4069771019
122400,1666468800.000000000,,/group_P_avg.uCB,14.3398279438
126000,1666472400.000000000,,/group_P_avg.uCB,14.3242235739
129600,1666476000.000000000,,/group_P_avg.uCB,14.3220635974
133200,1666479600.000000000,,/group_P_avg.uCB,14.3165412543
136800,1666483200.000000000,,/group_P_avg.uCB,14.3081849756
140400,1666486800.000000000,,/group_P_avg.uCB,14.2976959066
144000,1666490400.000000000,,/group_P_avg.uCB,14.3016302059
147600,1666494000.000000000,,/group_P_avg.uCB,14.3101183493
151200,1666497600.000000000,,/group_P_avg.uCB,14.3309377501
154800,1666501200.000000000,,/group_P_avg.uCB,14.3585658083
158400,1666504800.000000000,,/group_P_avg.uCB,14.3890797888
162000,1666508400.000000000,,/group_P_avg.uCB,14.4229120795
165600,1666512000.000000000,,/group_P_avg.uCB,14.4476555489
169200,1666515600.000000000,,/group_P_avg.uCB,14.4563505549
0,1666346400.000000000,,/group_S_avg.uCB,12.7945756607
3600,1666350000.000000000,,/group_S_avg.uCB,13.0918845916
7200,1666353600.000000000,,/group_S_avg.uCB,13.4426815164
10800,1666357200.000000000,,/group_S_avg.uCB,13.8034384147
14400,1666360800.000000000,,/group_S_avg.uCB,13.7150224013
18000,1666364400.000000000,,/group_S_avg.uCB,13.5989029956
21600,1666368000.000000000,,/group_S_avg.uCB,13.5837006456
25200,1666371600.000000000,,/group_S_avg.uCB,13.6578474648
28800,1666375200.000000000,,/group_S_avg.uCB,13.8882549822
32400,1666378800.000000000,,/group_S_avg.uCB,14.0404745044
36000,1666382400.000000000,,/group_S_avg.uCB,14.3540742632
39600,1666386000.000000000,,/group_S_avg.uCB,14.4169799485
43200,1666389600.000000000,,/group_S_avg.uCB,14.3658091234
46800,1666393200.000000000,,/group_S_avg.uCB,14.2145307225
50400,1666396800.000000000,,/group_S_avg.uCB,13.8195389355
54000,1666400400.000000000,,/group_S_avg.uCB,13.4228950745
57600,1666404000.000000000,,/group_S_avg.uCB,13.0928350811
61200,1666407600.000000000,,/group_S_avg.uCB,13.0208872061
64800,1666411200.000000000,,/group_S_avg.uCB,13.0743345131
68400,1666414800.000000000,,/group_S_avg.uCB,13.2156004307
72000,1666418400.000000000,,/group_S_avg.uCB,13.3302701239
