elapsed time,receive time,header.stamp,topic,value
0,1666346400.000000000,,/group_C_avg.lCB,18.5356016831
3600,1666350000.000000000,,/group_C_avg.lCB,18.7015462899
7200,1666353600.000000000,,/group_C_avg.lCB,18.2870228808
10800,1666357200.000000000,,/group_C_avg.lCB,17.9608681384
14400,1666360800.000000000,,/group_C_avg.lCB,17.8360765605
18000,1666364400.000000000,,/group_C_avg.lCB,17.7818240149
21600,1666368000.000000000,,/group_C_avg.lCB,17.7185985944
25200,1666371600.000000000,,/group_C_avg.lCB,17.730122061
28800,1666375200.000000000,,/group_C_avg.lCB,17.9020003393
32400,1666378800.000000000,,/group_C_avg.lCB,18.1353669749
36000,1666382400.000000000,,/group_C_avg.lCB,18.3587898549
39600,1666386000.000000000,,/group_C_avg.lCB,18.5991464545
43200,1666389600.000000000,,/group_C_avg.lCB,18.675527942
46800,1666393200.000000000,,/group_C_avg.lCB,18.9775949518
50400,1666396800.000000000,,/group_C_avg.lCB,19.1936559105
54000,1666400400.000000000,,/group_C_avg.lCB,19.3392318463
57600,1666404000.000000000,,/group_C_avg.lCB,19.9995716379
61200,1666407600.000000000,,/group_C_avg.lCB,20.4809797085
64800,1666411200.000000000,,/group_C_avg.lCB,20.7824431451
68400,1666414800.000000000,,/group_C_avg.lCB,21.317439681
72000,1666418400.000000000,,/group_C_avg.lCB,24.4266021048
75600,1666422000.000000000,,/group_C_avg.lCB,26.8510207266
79200,1666425600.000000000,,/group_C_avg.lCB,28.8463079829
82800,1666429200.000000000,,/group_C_avg.lCB,31.1830660084
86400,1666432800.000000000,,/group_C_avg.lCB,34.1628903042
90000,1666436400.000000000,,/group_C_avg.lCB,35.9427186719
93600,1666440000.000000000,,/group_C_avg.lCB,35.1166741993
97200,1666443600.000000000,,/group_C_avg.lCB,34.8496835983
100800,1666447200.000000000,,/group_C_avg.lCB,34.2520393232
104400,1666450800.000000000,,/group_C_avg.lCB,31.472309421
108000,1666454400.000000000,,/group_C_avg.lCB,28.2151586416
111600,1666458000.000000000,,/group_C_avg.lCB,25.8588519392
115200,1666461600.000000000,,/group_C_avg.lCB,25.4361720437
118800,1666465200.000000000,,/group_C_avg.lCB,25.2145829775
122400,1666468800.000000000,,/group_C_avg.lCB,23.9532969827
126000,1666472400.000000000,,/group_C_avg.lCB,24.0688192898
129600,1666476000.000000000,,/group_C_avg.lCB,24.7053952231
133200,1666479600.000000000,,/group_C_avg.lCB,24.5908578031
136800,1666483200.000000000,,/group_C_avg.lCB,22.7332629051
140400,1666486800.000000000,,/group_C_avg.lCB,21.2689065476
144000,1666490400.000000000,,/group_C_avg.lCB,21.3916756573
147600,1666494000.000000000,,/group_C_avg.lCB,22.2261993847
151200,1666497600.000000000,,/group_C_avg.lCB,22.8832185049
154800,1666501200.000000000,,/group_C_avg.lCB,24.2077499469
158400,1666504800.000000000,,/group_C_avg.lCB,25.6712820243
162000,1666508400.000000000,,/group_C_avg.lCB,26.691486932
165600,1666512000.000000000,,/group_C_avg.lCB,27.6190621505
169200,1666515600.000000000,,/group_C_avg.lCB,29.170339932
0,1666346400.000000000,,/group_P_avg.lCB,32.2628135346
3600,1666350000.000000000,,/group_P_avg.lCB,34.6930942477
7200,1666353600.000000000,,/group_P_avg.lCB,38.8109458653
10800,1666357200.000000000,,/group_P_avg.lCB,41.2605486091
14400,1666360800.000000000,,/group_P_avg.lCB,42.875644607
18000,1666364400.000000000,,/group_P_avg.lCB,44.25100762
21600,1666368000.000000000,,/group_P_avg.lCB,46.2102647517
25200,1666371600.000000000,,/group_P_avg.lCB,48.7843482526
28800,1666375200.000000000,,/group_P_avg.lCB,49.8047233073
32400,1666378800.000000000,,/group_P_avg.lCB,50.5986313443
36000,1666382400.000000000,,/group_P_avg.lCB,51.2202812485
39600,1666386000.000000000,,/group_P_avg.lCB,51.7341054506
43200,1666389600.000000000,,/group_P_avg.lCB,52.2217521446
46800,1666393200.000000000,,/group_P_avg.lCB,52.7544176747
50400,1666396800.000000000,,/group_P_avg.lCB,53.4438696523
54000,1666400400.000000000,,/group_P_avg.lCB,53.6654006599
57600,1666404000.000000000,,/group_P_avg.lCB,53.9750266453
61200,1666407600.000000000,,/group_P_avg.lCB,54.346900328
64800,1666411200.000000000,,/group_P_avg.lCB,55.1111614735
68400,1666414800.000000000,,/group_P_avg.lCB,54.0790902828
72000,1666418400.000000000,,/group_P_avg.lCB,52.4293687251
75600,1666422000.000000000,,/group_P_avg.lCB,51.8391434207
79200,1666425600.000000000,,/group_P_avg.lCB,49.2103948693
82800,1666429200.000000000,,/group_P_avg.lCB,48.293035065
86400,1666432800.000000000,,/group_P_avg.lCB,47.4657351427
90000,1666436400.000000000,,/group_P_avg.lCB,48.0700382804
93600,1666440000.000000000,,/group_P_avg.lCB,48.1105674022
97200,1666443600.000000000,,/group_P_avg.lCB,46.9983142043
