device_name,cellnumber,batt_mv,uptime_s,chmln_top_ohms,chmln_bot_ohms,ds18b20_top_temp_c,ds18b20_bot_temp_c,smt_vwc_raw,smt_temp_raw,date_created_utc
C4,0493247370,4160,50,1704.806,1585.504,14.1875,15.0625,79,153,"2022-10-14  02:42:05"
C4,0493247370,4156,671,2021.151,2739.726,14.125,15.125,78,152,"2022-10-14  02:53:15"
C4,0493247370,4133,1292,2035.294,2723.881,14.25,15.25,80,155,"2022-10-14  03:04:26"
C4,0493247370,4153,1914,2021.151,2708.074,14.4375,15.375,79,156,"2022-10-14  03:15:48"
C4,0493247370,4135,2552,2021.151,2708.074,14.5625,15.5625,79,156,"2022-10-14  03:27:04"
C4,0493247370,4149,3173,2035.294,2692.308,14.625,15.6875,79,157,"2022-10-14  03:38:26"
C4,0493247370,4148,3807,2035.294,2692.308,14.8125,15.875,79,158,"2022-10-14  03:49:37"
C4,0493247370,4130,4433,2021.151,2692.308,14.9375,16.125,79,158,"2022-10-14  04:00:53"
C4,0493247370,4148,5055,2021.151,2676.58,15.1875,16.375,79,159,"2022-10-14  04:12:15"
C4,0493247370,4127,5693,2007.042,2676.58,15.375,16.5625,79,159,"2022-10-14  04:23:31"
C4,0493247370,4129,6314,2007.042,2660.891,15.5,16.75,79,160,"2022-10-14  04:34:54"
C4,0493247370,3874,50,1691.429,1354.051,15.75,17,80,159,"2022-10-14  04:48:09"
C4,0493247370,3882,671,2007.042,2708.074,15.875,17.0625,80,160,"2022-10-14  04:59:30"
C4,0493247370,3984,1304,1978.923,2692.308,16,17.1875,80,161,"2022-10-14  05:10:41"
C4,0493247370,3878,1926,1992.966,2676.58,16.0625,17.25,80,160,"2022-10-14  05:22:03"
C4,0493247370,3936,2559,1992.966,2676.58,16.125,17.375,80,161,"2022-10-14  05:33:13"
C4,0493247370,3966,3181,2007.042,2676.58,16.25,17.4375,80,161,"2022-10-14  05:44:23"
C4,0493247370,3922,3802,1992.966,2660.891,16.25,17.5,80,162,"2022-10-14  05:55:46"
C4,0493247370,3924,4436,1992.966,2660.891,16.375,17.5625,80,162,"2022-10-14  06:06:57"
C4,0493247370,3874,5057,1992.966,2645.241,16.4375,17.6875,80,161,"2022-10-14  06:18:07"
C4,0493247370,3979,5679,1992.966,2645.241,16.625,17.8125,80,161,"2022-10-14  06:29:18"
C4,0493247370,3968,6300,1992.966,2645.241,16.6875,17.875,80,162,"2022-10-14  06:40:41"
C4,0493247370,3965,6936,1992.966,2645.241,16.75,17.9375,80,162,"2022-10-14  06:51:52"
C4,0493247370,3942,7562,1992.966,2645.241,16.75,18,80,162,"2022-10-14  07:03:06"
C4,0493247370,3983,8183,1992.966,2645.241,16.8125,17.9375,79,162,"2022-10-14  07:14:16"
C4,0493247370,3986,8804,1992.966,2645.241,16.875,17.875,80,162,"2022-10-14  07:25:26"
C4,0493247370,3936,9431,1992.966,2629.63,16.875,17.8125,80,162,"2022-10-14  07:36:41"
C4,0493247370,3942,10065,1992.966,2629.63,16.875,17.75,80,162,"2022-10-14  07:48:03"
C4,0493247370,3941,10691,2007.042,2629.63,16.8125,17.6875,80,161,"2022-10-14  07:59:17"
C4,0493247370,3980,11312,2021.151,2645.241,16.8125,17.5625,80,161,"2022-10-14  08:10:39"
C4,0493247370,3977,11946,2021.151,2645.241,16.8125,17.5,80,161,"2022-10-14  08:22:00"
C4,0493247370,3918,12590,2021.151,2629.63,16.75,17.375,79,158,"2022-10-14  08:33:21"
C4,0493247370,3929,13212,2021.151,2629.63,16.6875,17.3125,80,161,"2022-10-14  08:44:43"
C4,0493247370,3894,13847,2021.151,2629.63,16.5625,17.1875,80,160,"2022-10-14  08:55:53"
C4,0493247370,3944,14468,2035.294,2629.63,16.625,17.0625,80,160,"2022-10-14  09:07:02"
C4,0493247370,3957,15090,2035.294,2645.241,16.5625,17,80,159,"2022-10-14  09:18:11"
C4,0493247370,3939,15711,2035.294,2629.63,16.4375,16.8125,80,159,"2022-10-14  09:29:32"
C4,0493247370,3961,16344,2049.47,2629.63,16.4375,16.75,80,159,"2022-10-14  09:40:53"
C4,0493247370,3963,16977,2049.47,2629.63,16.3125,16.625,80,159,"2022-10-14  09:52:01"
C4,0493247370,3913,17603,2063.679,2629.63,16.25,16.5,80,158,"2022-10-14  10:03:16"
C4,0493247370,3915,18230,2049.47,2614.057,16.1875,16.375,79,155,"2022-10-14  10:14:30"
C4,0493247370,3913,18852,2049.47,2614.057,16.125,16.3125,80,158,"2022-10-14  10:25:39"
C4,0493247370,3932,19478,2077.922,2629.63,16,16.25,80,157,"2022-10-14  10:36:54"
C4,0493247370,3970,20100,2077.922,2629.63,15.9375,16.125,80,157,"2022-10-14  10:48:03"
C4,0493247370,3862,20721,2092.199,2629.63,15.875,16.0625,80,156,"2022-10-14  10:59:24"
C4,0493247370,3950,21354,2049.47,2629.63,15.875,15.625,81,153,"2022-10-14  11:10:45"
C4,0493247370,3959,21988,2222.222,2629.63,15.75,15.0625,83,154,"2022-10-14  11:22:06"
C4,0493247370,3962,22621,2598.522,2645.241,15.4375,15.25,83,154,"2022-10-14  11:33:27"
C4,0493247370,3916,23254,3048.469,2645.241,14.75,14.9375,83,154,"2022-10-14  11:44:36"
C4,0493247370,3936,23876,3320.313,2676.58,14.6875,14.6875,83,153,"2022-10-14  11:55:45"
C4,0493247370,3952,25131,3337.679,2692.308,14.1875,14.4375,82,149,"2022-10-14  12:18:15"
C4,0493247370,3959,25753,3337.679,2708.074,14.0625,14.375,83,152,"2022-10-14  12:29:36"
C4,0493247370,3961,26386,3355.091,2708.074,13.9375,14.25,83,151,"2022-10-14  12:40:56"
C4,0493247370,3965,27019,3513.87,2708.074,13.8125,14.25,83,151,"2022-10-14  12:52:16"
C4,0493247370,3969,27652,3442.838,2692.308,13.8125,14.125,84,151,"2022-10-14  13:03:25"
C4,0493247370,3904,28273,2998.729,2676.58,13.75,14,83,151,"2022-10-14  13:14:45"
C4,0493247370,3980,28907,2819.549,2660.891,13.625,13.9375,82,150,"2022-10-14  13:26:05"
C4,0493247370,3911,29540,2583.026,2660.891,13.5625,13.875,84,151,"2022-10-14  13:37:14"
C4,0493247370,3915,30167,2445.256,2692.308,13.4375,13.875,83,150,"2022-10-14  13:48:40"
C4,0493247370,3944,30800,2370.012,2692.308,13.375,13.75,83,149,"2022-10-14  14:00:00"
C4,0493247370,3945,31433,2295.673,2692.308,13.25,13.75,82,149,"2022-10-14  14:11:09"
C4,0493247370,3914,32060,2236.842,2692.308,13.1875,13.6875,83,149,"2022-10-14  14:22:34"
C4,0493247370,3982,32694,2193.087,2676.58,13.0625,13.5625,83,149,"2022-10-14  14:33:43"
C4,0493247370,3923,33320,2164.09,2660.891,13.0625,13.4375,82,149,"2022-10-14  14:45:09"
C4,0493247370,3972,33954,2178.572,2660.891,13,13.4375,82,149,"2022-10-14  14:56:18"
C4,0493247370,3942,34576,2193.087,2676.58,13,13.3125,82,149,"2022-10-14  15:07:38"
C4,0493247370,3988,35208,2178.572,2645.241,12.875,13.25,81,148,"2022-10-14  15:18:58"
C4,0493247370,3985,35842,2193.087,2645.241,12.75,13.0625,82,147,"2022-10-14  15:30:06"
C4,0493247370,3935,36468,2207.637,2645.241,12.75,13,81,146,"2022-10-14  15:41:19"
C4,0493247370,3926,37089,2207.637,2645.241,12.625,12.9375,82,148,"2022-10-14  15:52:28"
C4,0493247370,3917,37716,2207.637,2645.241,12.5625,12.875,80,146,"2022-10-14  16:03:41"
C4,0493247370,3916,38342,2222.222,2645.241,12.5625,12.8125,82,146,"2022-10-14  16:14:55"
C4,0493247370,3955,38970,2207.637,2614.057,12.5,12.75,82,147,"2022-10-14  16:26:10"
C4,0493247370,3917,39597,2222.222,2614.057,12.375,12.625,82,147,"2022-10-14  16:37:36"
C4,0493247370,3891,40238,2236.842,2614.057,12.3125,12.5625,82,146,"2022-10-14  16:48:51"
C4,0493247370,3930,40864,2222.222,2614.057,12.3125,12.5,82,145,"2022-10-14  17:00:04"
C4,0493247370,3978,41486,2251.497,2629.63,12.25,12.375,82,145,"2022-10-14  17:11:25"
C4,0493247370,3929,42131,2251.497,2629.63,12.125,12.3125,82,145,"2022-10-14  17:22:57"
C4,0493247370,3976,42764,2266.187,2629.63,12.125,12.25,82,145,"2022-10-14  17:34:16"
C4,0493247370,3992,43397,2280.912,2629.63,12.0625,12.125,82,145,"2022-10-14  17:45:37"
C4,0493247370,3972,44035,2280.912,2645.241,11.9375,12.0625,82,144,"2022-10-14  17:57:02"
C4,0493247370,4036,44668,2266.187,2614.057,11.875,11.9375,82,144,"2022-10-14  18:08:22"
C4,0493247370,3946,45308,2266.187,2614.057,11.8125,11.875,82,144,"2022-10-14  18:19:36"
C4,0493247370,3987,45935,2295.673,2629.63,11.75,11.8125,82,143,"2022-10-14  18:30:50"
C4,0493247370,3984,46556,2280.912,2614.057,11.6875,11.6875,82,144,"2022-10-14  18:42:09"
C4,0493247370,3948,47194,2295.673,2614.057,11.625,11.625,82,143,"2022-10-14  18:53:22"
C4,0493247370,4001,47816,2310.469,2614.057,11.5625,11.5625,82,143,"2022-10-14  19:04:30"
C4,0493247370,3955,48456,2295.673,2629.63,11.5,11.5625,82,143,"2022-10-14  19:15:57"
C4,0493247370,3961,49084,2295.673,2629.63,11.5,11.375,81,141,"2022-10-14  19:27:12"
C4,0493247370,3940,49705,2280.912,2598.522,11.375,11.375,82,143,"2022-10-14  19:38:20"
C4,0493247370,3935,50338,2310.469,2629.63,11.25,11.25,82,142,"2022-10-14  19:49:40"
C4,0493247370,3981,50960,2310.469,2614.057,11.25,11.1875,82,142,"2022-10-14  20:00:48"
C4,0493247370,3966,51581,2310.469,2614.057,11.1875,11.1875,82,142,"2022-10-14  20:12:08"
C4,0493247370,3965,52214,2340.169,2629.63,11.125,11.1875,82,142,"2022-10-14  20:23:16"
C4,0493247370,3901,52840,2310.469,2614.057,11.125,11.125,82,142,"2022-10-14  20:34:30"
C4,0493247370,3917,53462,2325.301,2614.057,11.125,11.0625,82,142,"2022-10-14  20:45:38"
C4,0493247370,3913,54084,2340.169,2629.63,11.125,11.0625,82,142,"2022-10-14  20:56:47"
C4,0493247370,3909,54705,2325.301,2614.057,11.0625,11.0625,83,142,"2022-10-14  21:08:07"
C4,0493247370,3923,55343,2295.673,2598.522,11.0625,11.125,82,141,"2022-10-14  21:19:20"
C4,0493247370,3969,55964,2310.469,2614.057,11.0625,11.1875,82,142,"2022-10-14  21:30:29"
C4,0493247370,3940,56586,2310.469,2614.057,11.125,11.25,81,141,"2022-10-14  21:41:38"
C4,0493247370,3921,57207,2325.301,2614.057,11.125,11.3125,82,143,"2022-10-14  21:52:59"
C4,0493247370,3970,57840,2310.469,2614.057,11.125,11.375,82,143,"2022-10-14  22:04:07"
