device_name,cellnumber,batt_mv,uptime_s,chmln_top_ohms,chmln_bot_ohms,ds18b20_top_temp_c,ds18b20_bot_temp_c,smt_vwc_raw,smt_temp_raw,date_created_utc
P5,0492843228,4065,50,1758.621,1718.213,16.125,16.5,81,160,"2022-10-12  04:46:07"
P5,0492843228,4054,671,2135.231,2676.58,16.125,16.4375,80,160,"2022-10-12  04:56:21"
P5,0492843228,4040,49,1691.429,1731.651,16.125,16.5,79,159,"2022-10-12  04:58:56"
P5,0492843228,4072,671,2135.231,2692.308,16.125,16.5,81,160,"2022-10-12  05:09:11"
P5,0492843228,4071,1293,2135.231,2692.308,16.0625,16.5625,81,160,"2022-10-12  05:19:25"
P5,0492843228,4067,1914,2135.231,2708.074,16.125,16.5625,81,160,"2022-10-12  05:29:39"
P5,0492843228,4059,2535,2135.231,2708.074,16.125,16.625,81,161,"2022-10-12  05:39:53"
P5,0492843228,4059,3157,2135.231,2708.074,16.25,16.625,80,161,"2022-10-12  05:50:07"
P5,0492843228,4045,3778,2135.231,2708.074,16.25,16.6875,80,160,"2022-10-12  06:00:17"
P5,0492843228,4063,4399,2135.231,2708.074,16.25,16.6875,81,161,"2022-10-12  06:10:31"
P5,0492843228,4053,5021,2135.231,2708.074,16.3125,16.75,81,161,"2022-10-12  06:20:44"
P5,0492843228,4048,5642,2135.231,2708.074,16.375,16.75,79,159,"2022-10-12  06:30:58"
P5,0492843228,4047,6265,2135.231,2708.074,16.3125,16.75,81,161,"2022-10-12  06:41:13"
P5,0492843228,4063,6886,2135.231,2708.074,16.375,16.6875,81,161,"2022-10-12  06:51:26"
P5,0492843228,4063,7507,2135.231,2708.074,16.375,16.75,80,158,"2022-10-12  07:01:40"
P5,0492843228,4061,8129,2135.231,2708.074,16.375,16.75,80,161,"2022-10-12  07:11:53"
P5,0492843228,4058,8750,2135.231,2708.074,16.3125,16.75,81,161,"2022-10-12  07:22:07"
P5,0492843228,4059,9372,2135.231,2708.074,16.375,16.75,80,161,"2022-10-12  07:32:20"
P5,0492843228,4101,50,1678.082,1704.806,16.5,16.75,79,160,"2022-10-12  07:39:40"
P5,0492843228,4104,671,2149.644,2708.074,16.375,16.6875,80,161,"2022-10-12  07:49:53"
P5,0492843228,4100,1292,2149.644,2708.074,16.4375,16.75,80,161,"2022-10-12  08:00:07"
P5,0492843228,4062,3806,2149.644,2708.074,16.4375,16.625,80,160,"2022-10-12  08:41:20"
P5,0492843228,4109,5061,2149.644,2708.074,16.3125,16.5625,80,161,"2022-10-12  09:01:56"
P5,0492843228,4112,5683,2149.644,2708.074,16.4375,16.5,80,161,"2022-10-12  09:12:10"
P5,0492843228,4113,6304,2149.644,2708.074,16.375,16.5,80,161,"2022-10-12  09:22:23"
P5,0492843228,4110,6926,2149.644,2708.074,16.375,16.4375,80,160,"2022-10-12  09:32:36"
P5,0492843228,4071,7547,2164.09,2708.074,16.3125,16.4375,80,160,"2022-10-12  09:42:49"
P5,0492843228,4109,8168,2164.09,2708.074,16.3125,16.4375,80,160,"2022-10-12  09:53:02"
P5,0492843228,4107,8790,2164.09,2692.308,16.3125,16.375,80,160,"2022-10-12  10:03:15"
P5,0492843228,4107,9411,2164.09,2708.074,16.3125,16.375,80,159,"2022-10-12  10:13:28"
P5,0492843228,4105,10044,2164.09,2708.074,16.3125,16.3125,81,160,"2022-10-12  10:23:52"
P5,0492843228,4105,10665,2164.09,2708.074,16.25,16.25,79,160,"2022-10-12  10:34:05"
P5,0492843228,4104,11286,2178.572,2692.308,16.25,16.25,79,156,"2022-10-12  10:44:18"
P5,0492843228,4016,50,2266.187,2149.644,12,12,82,146,"2022-10-13  22:45:48"
P5,0492843228,4025,671,2803.504,2755.611,11.9375,12,82,147,"2022-10-13  22:56:01"
P5,0492843228,4030,1292,2803.504,2755.611,12.0625,12.1875,82,147,"2022-10-13  23:06:15"
P5,0492843228,4026,1914,2787.5,2771.536,12.125,12.25,82,148,"2022-10-13  23:16:28"
P5,0492843228,4026,2535,2771.536,2771.536,12.1875,12.375,82,148,"2022-10-13  23:26:42"
